provider,model,chunk_strategy,metodo_extracao,mode,rerank,query_expansion,num_questions,recall_at_k,doc_recall_at_k,precision_at_k,mrr_at_k,ndcg_at_k,latency_avg_ms,latency_p95_ms,num_questions_total,num_questions_evaluated,num_questions_skipped
openai,text-embedding-3-large,fixed-size,markdown,flat,False,False,48,0.8958333333333334,0.9375,0.1769675925925926,0.7236111111111111,0.7484056759955315,14.514642438977413,43.17474999697879,50,48,2
openai,text-embedding-3-large,article-aware,markdown,flat,False,False,48,0.4166666666666667,0.8125,0.0625,0.26371527777777776,0.2976813806690184,67.44505549310513,240.7705410150811,50,48,2
openai,text-embedding-3-large,hierarchical-child,markdown,flat,False,False,48,0.4375,0.8125,0.06041666666666667,0.2910300925925926,0.3211025960039123,76.8747742282964,255.96174999373034,50,48,2
openai,text-embedding-3-large,hierarchical-child,markdown,hierarchical,False,False,48,0.4375,0.8125,0.07083333333333333,0.3032986111111111,0.3287436556936665,84.89185335323175,267.37566699739546,50,48,2
openai,text-embedding-3-large,fixed-size,texto,flat,False,False,48,0.8958333333333334,0.9375,0.1996527777777778,0.7213789682539683,0.7453803056539662,12.888986104371725,25.555457978043705,50,48,2
openai,text-embedding-3-large,article-aware,texto,flat,False,False,48,0.625,0.8333333333333334,0.11093750000000001,0.4101521164021164,0.465289526111584,22.635554705630057,53.734749963041395,50,48,2
openai,text-embedding-3-large,hierarchical-child,texto,flat,False,False,48,0.5416666666666666,0.8125,0.09166666666666667,0.3637152777777778,0.40147033434229756,31.270617171685444,72.4061670480296,50,48,2
openai,text-embedding-3-large,hierarchical-child,texto,hierarchical,False,False,48,0.5833333333333334,0.8125,0.11875000000000001,0.43842592592592594,0.45896773158448945,30.30161277032069,69.39299998339266,50,48,2
openai,text-embedding-3-small,fixed-size,markdown,flat,False,False,48,0.8333333333333334,0.875,0.16967592592592592,0.6149305555555555,0.6299927942975546,10.605118915312536,23.401333019137383,50,48,2
openai,text-embedding-3-small,article-aware,markdown,flat,False,False,48,0.4375,0.75,0.0625,0.20734126984126983,0.26126315604579864,52.93009283559513,232.70191700430587,50,48,2
openai,text-embedding-3-small,hierarchical-child,markdown,flat,False,False,48,0.4166666666666667,0.7916666666666666,0.05625,0.216046626984127,0.2594473324202572,60.135529461452585,239.8457499803044,50,48,2
openai,text-embedding-3-small,hierarchical-child,markdown,hierarchical,False,False,48,0.4375,0.7916666666666666,0.06666666666666667,0.2183614417989418,0.2657561529519813,58.655015604017535,240.77324999962002,50,48,2
openai,text-embedding-3-small,fixed-size,texto,flat,False,False,48,0.8333333333333334,0.8541666666666666,0.1892361111111111,0.6212053571428572,0.6427599485043042,10.644094534654869,23.441499972250313,50,48,2
openai,text-embedding-3-small,article-aware,texto,flat,False,False,48,0.4791666666666667,0.6666666666666666,0.08750000000000001,0.22742228835978837,0.28538606200634314,18.35175962332869,55.49325002357364,50,48,2
openai,text-embedding-3-small,hierarchical-child,texto,flat,False,False,48,0.4791666666666667,0.7708333333333334,0.07291666666666667,0.284796626984127,0.3235116299435869,23.31768404352867,58.94024996086955,50,48,2
openai,text-embedding-3-small,hierarchical-child,texto,hierarchical,False,False,48,0.5416666666666666,0.7708333333333334,0.09791666666666667,0.32588458994708996,0.36668867689839435,23.682255187547224,59.185874997638166,50,48,2
