provider,model,chunk_strategy,metodo_extracao,mode,rerank,query_expansion,num_questions,recall_at_k,doc_recall_at_k,precision_at_k,mrr_at_k,ndcg_at_k,latency_avg_ms,latency_p95_ms,num_questions_total,num_questions_evaluated,num_questions_skipped
openai,text-embedding-3-large,article-aware,markdown,flat,False,False,48,0.8125,0.8958333333333334,0.1488425925925926,0.5738425925925926,0.6246894578179919,668.8853497738213,1361.3049580017105,50,48,2
openai,text-embedding-3-large,hierarchical-child,markdown,flat,False,False,48,0.7916666666666666,0.8541666666666666,0.1346064814814815,0.5675347222222222,0.6059867418495762,24.920356772781815,56.51712499093264,50,48,2
openai,text-embedding-3-large,hierarchical-child,markdown,hierarchical,False,False,48,0.8333333333333334,0.8541666666666666,0.14918981481481483,0.6118882275132275,0.6640757067501781,25.463489597314037,57.61604197323322,50,48,2
openai,text-embedding-3-large,article-aware,texto,flat,False,False,48,0.7291666666666666,0.875,0.13630952380952382,0.524156746031746,0.5759115943897432,17.526313439399626,35.201124963350594,50,48,2
openai,text-embedding-3-large,hierarchical-child,texto,flat,False,False,48,0.6875,0.8333333333333334,0.125,0.430952380952381,0.49330338066451307,25.083548690114792,53.23924997355789,50,48,2
openai,text-embedding-3-large,hierarchical-child,texto,hierarchical,False,False,48,0.75,0.8333333333333334,0.15520833333333334,0.5530340608465608,0.5882001228674832,24.89124047860969,51.96212499868125,50,48,2
openai,text-embedding-3-small,article-aware,markdown,flat,False,False,48,0.7083333333333334,0.875,0.12291666666666667,0.4703703703703704,0.5171240790348579,501.6388637037987,711.9734159205109,50,48,2
openai,text-embedding-3-small,hierarchical-child,markdown,flat,False,False,48,0.7708333333333334,0.8958333333333334,0.12569444444444444,0.4810350529100529,0.5447573626626198,19.647329092549626,51.10066698398441,50,48,2
openai,text-embedding-3-small,hierarchical-child,markdown,hierarchical,False,False,48,0.8333333333333334,0.8958333333333334,0.14444444444444446,0.5401868386243386,0.6020568044939372,19.98855558728489,52.02800000552088,50,48,2
openai,text-embedding-3-small,article-aware,texto,flat,False,False,48,0.5833333333333334,0.7708333333333334,0.11203703703703703,0.30091765873015874,0.36524159192571387,14.044326412355682,31.91545803565532,50,48,2
openai,text-embedding-3-small,hierarchical-child,texto,flat,False,False,48,0.625,0.8125,0.11111111111111112,0.3720734126984127,0.4329522671799307,19.499335940054152,46.04725004173815,50,48,2
openai,text-embedding-3-small,hierarchical-child,texto,hierarchical,False,False,48,0.6458333333333334,0.8125,0.12916666666666668,0.40788690476190476,0.4504961799824397,19.99952350888634,48.061416018754244,50,48,2
openai,text-embedding-3-large,article-aware,markdown,flat,True,False,48,0.8125,0.9375,0.16339285714285715,0.5980902777777778,0.6374268759658417,666.5001406145166,1402.2902919678017,50,48,2
openai,text-embedding-3-large,hierarchical-child,markdown,flat,True,False,48,0.8333333333333334,0.9166666666666666,0.14427083333333335,0.6010416666666667,0.6597037440761214,548.902479960816,820.8877911092713,50,48,2
openai,text-embedding-3-large,hierarchical-child,markdown,hierarchical,True,False,48,0.8333333333333334,0.9166666666666666,0.16302083333333334,0.6204861111111111,0.661565192012057,679.1002925140978,1229.2153340531513,50,48,2
openai,text-embedding-3-large,article-aware,texto,flat,True,False,48,0.7916666666666666,0.8958333333333334,0.15486111111111112,0.6076388888888888,0.6271029559965265,595.3336362217669,990.5595419695601,50,48,2
openai,text-embedding-3-large,hierarchical-child,texto,flat,True,False,48,0.7708333333333334,0.8958333333333334,0.13541666666666666,0.5854662698412698,0.6134970294598144,486.2047837790063,811.8934159865603,50,48,2
openai,text-embedding-3-large,hierarchical-child,texto,hierarchical,True,False,48,0.7708333333333334,0.875,0.15694444444444444,0.5854166666666667,0.6129452351012735,623.7646839460164,962.390249944292,50,48,2
openai,text-embedding-3-small,article-aware,markdown,flat,True,False,48,0.8333333333333334,0.9166666666666666,0.16273148148148148,0.6192956349206349,0.6573908900367412,554.1028550093566,1121.1795000126585,50,48,2
openai,text-embedding-3-small,hierarchical-child,markdown,flat,True,False,48,0.8125,0.8958333333333334,0.14270833333333333,0.6100694444444444,0.6587960562608205,513.7169296649517,1018.8583339331672,50,48,2
openai,text-embedding-3-small,hierarchical-child,markdown,hierarchical,True,False,48,0.8333333333333334,0.9166666666666666,0.16770833333333335,0.61875,0.6572312456319304,658.5913029969864,1316.6778748854995,50,48,2
openai,text-embedding-3-small,article-aware,texto,flat,True,False,48,0.75,0.8958333333333334,0.14774305555555556,0.603125,0.623483297116756,527.4024547688896,935.9154999256134,50,48,2
openai,text-embedding-3-small,hierarchical-child,texto,flat,True,False,48,0.7708333333333334,0.875,0.140625,0.6036706349206349,0.6287731627968515,546.6534947651477,1119.4277080940083,50,48,2
openai,text-embedding-3-small,hierarchical-child,texto,hierarchical,True,False,48,0.7916666666666666,0.9166666666666666,0.16180555555555556,0.6046875,0.6348555624088273,665.9729235398117,1094.5894171018153,50,48,2
